key_resp.corr,trials.label,trials.startVal,trials.stepSizes,trials.maxVal,trials.minVal,trials.thisIndex,trials.thisRepN,trials.thisN,trials.direction,trials.stepSize,trials.stepType,trials.intensity,ISI.started,grating.started,key_resp.started,trials.response,participant,session
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,1,0,start,0.01,db,0.05,0.6828818,16.7194721,16.7194721,1,801364,1
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,2,1,down,0.01,db,0.049942468,0.0007921,20.1196746,20.1196746,1,801364,1
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,3,2,down,0.01,db,0.049885003,0.0009949,25.0029779,25.0029779,1,801364,1
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,4,3,down,0.01,db,0.049827604,0.000818,30.9363199,30.9363199,0,801364,1
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,5,4,up,0.01,db,0.049885003,0.0008118,33.6529896,33.6529896,1,801364,1
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,6,5,up,0.01,db,0.049885003,0.0007852,35.6861341,35.6861341,0,801364,1
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,7,6,up,0.01,db,0.049942468,0.0008064,44.1527183,44.1527183,1,801364,1
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,8,7,up,0.01,db,0.049942468,0.0007916,46.5693499,46.5693499,1,801364,1
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,9,8,up,0.01,db,0.049942468,0.000951,51.6359612,51.6359612,0,801364,1
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,10,9,up,0.01,db,0.05,0.0009008,55.7692236,55.7692236,1,801364,1
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,11,10,up,0.01,db,0.05,0.0007833,57.86929,57.86929,0,801364,1
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,12,11,up,0.01,db,0.050057598,0.0008051,60.4026677,60.4026677,0,801364,1
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,13,12,up,0.01,db,0.050115262,0.0007684,62.469256,62.469256,0,801364,1
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,14,13,up,0.01,db,0.050172992,0.0007093,64.5858513,64.5858513,0,801364,1
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,15,14,up,0.01,db,0.05023079,0.000747,66.7025568,66.7025568,0,801364,1
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,16,15,up,0.01,db,0.050288653,0.0007495,68.885869,68.885869,0,801364,1
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,17,16,up,0.01,db,0.050346583,0.0008111,71.6859697,71.6859697,1,801364,1
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,18,17,up,0.01,db,0.050346583,0.0007968,74.0525003,74.0525003,0,801364,1
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,19,18,up,0.01,db,0.05040458,0.000846,76.219137,76.219137,1,801364,1
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,20,19,up,0.01,db,0.05040458,0.0008005,78.7857189,78.7857189,0,801364,1
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,21,20,up,0.01,db,0.050462644,0.0007908,81.2857524,81.2857524,1,801364,1
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,22,21,up,0.01,db,0.050462644,0.0008038,84.0690297,84.0690297,1,801364,1
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,23,22,up,0.01,db,0.050462644,0.0007914,86.1023738,86.1023738,0,801364,1
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,24,23,up,0.01,db,0.050520775,0.0007853,88.7188737,88.7188737,0,801364,1
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,25,24,up,0.01,db,0.050578973,0.0008011,91.0524007,91.0524007,1,801364,1
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,26,25,up,0.01,db,0.050578973,0.0008026,96.3356367,96.3356367,1,801364,1
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,27,26,up,0.01,db,0.050578973,0.0008003,98.6857018,98.6857018,0,801364,1
